tx_status,tx_codptcoleta,tx_localizacao,dt_atualizacao,globalid,objectid,nomePraia,tipo
Imprópria,AD000,Centro da praia,2014/06/12 03:00:00+00,{0168E0A0-C6E2-482F-8E1D-23E8F395DD7F},39,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/16 03:00:00+00,{83B73174-8CC1-4844-B344-935AB337391C},40,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/23 03:00:00+00,{7B69E2D3-96B6-452F-9097-F48F2B9830AA},41,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/26 03:00:00+00,{BA74BB87-78D1-4B74-ADD1-E228AF22818C},42,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/30 03:00:00+00,{1886C930-50A8-4AFC-B49D-F1528FE7B53C},43,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/02 03:00:00+00,{C811D83A-FB48-4A6F-BCC5-084F2986F40A},44,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/07 03:00:00+00,{07F94A2A-BB08-42C8-974B-2E82DAFA5247},45,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/10 03:00:00+00,{55885717-5B69-4001-BD1D-ADCF83A3B9AF},46,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/14 03:00:00+00,{0A604244-5469-49D6-A85F-7285B204C25E},47,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/17 03:00:00+00,{F4A70326-9BEA-4607-8886-F91BCC1909B5},48,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/21 03:00:00+00,{3CB35A4E-FB24-4C86-ACBE-5D77AD2DDBDC},49,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/24 03:00:00+00,{D7D478FD-3F44-4991-AE4A-2995A49856E1},50,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/28 03:00:00+00,{3F139765-749F-4F9B-99E7-1FA9C1D73B94},51,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/31 03:00:00+00,{26FC27CA-1E29-417B-8962-0D2FD3D6249C},52,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/04 03:00:00+00,{6EDF7C22-200D-4F53-BDD3-56769A67DD70},53,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/07 03:00:00+00,{9AFE1CCC-AA9C-4518-A24A-E39AFD40042D},54,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/11 03:00:00+00,{79A61789-81FA-45BD-82CB-87F651FA2E6F},55,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/14 03:00:00+00,{C73203D4-5128-4360-ADF5-1393FCE649A5},56,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/18 03:00:00+00,{FB5D9433-0854-41EB-81AA-AF0509B4F395},57,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/21 03:00:00+00,{977DE335-4EB5-4931-9E85-32C7653FE1F0},58,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/25 03:00:00+00,{8673D026-9C30-4C56-B519-771EF304B941},59,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/08/28 03:00:00+00,{847B25AF-8F89-420E-8820-05D4A60FDF8C},60,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/01 03:00:00+00,{992B5EF2-7012-451B-B12E-829F38631E68},61,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/04 03:00:00+00,{FE343FD5-17DB-47EE-9A82-C0D956282F6F},62,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/08 03:00:00+00,{22CF9284-9803-457D-B90D-5AD83E268942},63,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/11 03:00:00+00,{8CE1BB6B-6992-4B91-B0C4-392F225DF791},64,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/15 03:00:00+00,{DA310929-E80D-4F2F-B0E8-7579E2BCDCD3},65,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/18 03:00:00+00,{1A4DDF38-78A1-4FDD-B8C5-68A8E23E2FA3},66,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/22 03:00:00+00,{2BF82755-9698-40E4-9306-E0D10EFF88EE},67,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/09/29 03:00:00+00,{0737A3DC-9B83-4FCB-A7D0-D3FA530DD46C},68,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/02 03:00:00+00,{FE4C18A4-1C2B-4FB2-8B1A-FE762CF9890E},69,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/06 03:00:00+00,{5F535E17-035C-4D52-8FF0-4AB6F17E5A4F},70,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/09 03:00:00+00,{073DCE86-E704-4DB0-9CB4-E7B613B3E0A5},71,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/14 03:00:00+00,{D154B005-3B37-46E2-BB78-825A7FAEB97A},72,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/16 03:00:00+00,{FC967C35-491F-4767-A003-E969C27EEC57},73,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/20 03:00:00+00,{D38B2EE2-2CE6-4DEA-AC2E-1BFEAEE3BD47},74,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/23 03:00:00+00,{4F670456-2A15-4D8A-9B91-9B9A9541338D},75,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/29 03:00:00+00,{7E9341B6-2405-41E2-A6BD-6C226989ED31},76,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/11/03 03:00:00+00,{CDF4F2DE-0659-4D78-9D7B-1B8B4A481B01},77,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/11/06 03:00:00+00,{A191CA86-6299-4A5D-94C7-C0FD48EFAD0A},78,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/10/11 03:00:00+00,{BF6770A8-AA64-4301-8D89-DC907C150FAD},79,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/11/13 03:00:00+00,{88870575-AADA-48A9-BA30-6809A74A08CA},80,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/11/18 03:00:00+00,{F8DCA549-3C31-46F9-A9C4-9A40FEAC8DA6},81,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/11/24 03:00:00+00,{F5301E6A-5A90-437A-8813-24FFE270A78D},82,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/11/27 03:00:00+00,{5D3C2F98-FFA5-481A-80F4-E68796E7AB56},83,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/12/01 03:00:00+00,{D4F70F9F-879C-4C11-B9EF-75143ADF7939},84,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/12/04 03:00:00+00,{5E630278-6957-409C-9F9A-D20BA24979AF},85,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/12/08 03:00:00+00,{1D7B36B9-9D21-477B-898A-45ABD181804C},86,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/12/11 03:00:00+00,{E4214B50-EE33-472E-A8C8-376820CBE1BA},87,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/12/15 03:00:00+00,{6C1D22CE-0AC4-4D52-83EF-6C4063A85357},88,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/12/17 03:00:00+00,{3F83DAC2-2182-4BA4-BA85-19CD9E3B6915},89,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/12/22 03:00:00+00,{D92B2CE6-5D9E-4A85-9B39-93D00CDBCA9B},90,Praia da Fortaleza,Baía de Guanabara
